filename,width,height,class,xmin,ymin,xmax,ymax
blurred_truck_plate_11.jpg,450,311,license_plate,65,186,110,198
blurred_truck_plate_23.jpg,275,183,license_plate,89,122,140,131
blurred_truck_plate_1.jpg,800,583,license_plate,377,379,437,395
flip+blur_truck_plate_26.jpg,654,490,license_plate,522,306,575,330
flip+blur_truck_plate_18.jpg,676,339,license_plate,518,212,602,242
truck_plate_28.jpg,259,194,license_plate,20,104,67,119
flip+blur_truck_plate_27.jpg,960,720,license_plate,641,402,738,434
blurred_truck_plate_22.jpg,1024,845,license_plate,655,501,832,544
flipped_truck_plate_26.jpg,654,490,license_plate,523,305,571,330
flipped_truck_plate_0.jpg,1000,541,license_plate,610,399,678,419
truck_plate_21.jpg,1280,720,license_plate,542,361,685,415
truck_plate_6.jpg,447,355,license_plate,316,231,358,244
blurred_truck_plate_0.jpg,1000,541,license_plate,324,398,389,416
flipped_truck_plate_18.jpg,676,339,license_plate,519,213,599,240
flip+blur_truck_plate_30.jpg,259,194,license_plate,159,127,206,142
flip+blur_truck_plate_8.jpg,825,621,license_plate,75,392,192,433
truck_plate_4.jpg,1024,768,license_plate,595,484,691,513
flip+blur_truck_plate_31.jpg,440,293,license_plate,79,188,127,207
flip+blur_truck_plate_0.jpg,1000,541,license_plate,610,396,676,415
flip+blur_truck_plate_1.jpg,800,583,license_plate,361,379,432,398
blurred_truck_plate_24.jpg,1600,1290,license_plate,1117,673,1224,732
flip+blur_truck_plate_22.jpg,1024,845,license_plate,188,486,382,561
flip+blur_truck_plate_29.jpg,1024,765,license_plate,259,449,422,519
flip+blur_truck_plate_21.jpg,1280,720,license_plate,605,368,755,410
truck_plate_8.jpg,825,621,license_plate,636,394,747,428
truck_plate_27.jpg,960,720,license_plate,228,400,324,440
flipped_truck_plate_28.jpg,259,194,license_plate,194,104,237,120
truck_plate_17.jpg,510,340,license_plate,343,228,394,244
blurred_truck_plate_4.jpg,1024,768,license_plate,599,485,687,511
flipped_truck_plate_14.jpg,639,358,license_plate,299,231,351,244
flip+blur_truck_plate_6.jpg,447,355,license_plate,90,233,132,243
blurred_truck_plate_13.jpg,1280,720,license_plate,260,393,335,419
flipped_truck_plate_22.jpg,1024,845,license_plate,191,486,390,556
flipped_truck_plate_4.jpg,1024,768,license_plate,334,478,437,517
flip+blur_truck_plate_11.jpg,450,311,license_plate,340,188,388,197
blurred_truck_plate_8.jpg,825,621,license_plate,642,394,751,426
flipped_truck_plate_29.jpg,1024,765,license_plate,260,451,419,515
blurred_truck_plate_25.jpg,1000,600,license_plate,775,278,860,312
flipped_truck_plate_15.jpg,1600,1128,license_plate,250,533,406,599
